time_hour,category_id
0,1122576
0,1122912
0,1122688
0,1122464
0,1123472
0,1123248
0,1123024
0,1123136
0,1122800
0,1124480
0,1125040
0,1123360
0,1124704
0,1123920
0,1123696
0,1124816
0,1124144
0,1124368
0,1124592
0,1122352
0,1123584
1,1122576
1,1123472
1,1122688
1,1123248
1,1122912
1,1122464
1,1123136
1,1124816
1,1123024
1,1122800
1,1123696
1,1124480
1,1123360
1,1125040
1,1124704
1,1123920
1,1124144
1,1124368
1,1124592
1,1122352
1,1123584
2,1122576
2,1122912
2,1123472
2,1122688
2,1122464
2,1123248
2,1123024
2,1123136
2,1122800
2,1124480
2,1123360
2,1123920
2,1123696
2,1124816
2,1125040
2,1124704
2,1124144
2,1122352
2,1124368
2,1124592
3,1122576
3,1122912
3,1122688
3,1122464
3,1123248
3,1123472
3,1123136
3,1122800
3,1123024
3,1124480
3,1123360
3,1125040
3,1123696
3,1124704
3,1124592
3,1123920
3,1124368
3,1124816
3,1124144
3,1122352
3,1123584
4,1122576
4,1122912
4,1122688
4,1123248
4,1122464
4,1123136
4,1123472
4,1123024
4,1122800
4,1124480
4,1123360
4,1123696
4,1124704
4,1125040
4,1124816
4,1124144
4,1124368
4,1123920
4,1124592
4,1122352
5,1122576
5,1122688
5,1122464
5,1122912
5,1123472
5,1123248
5,1123136
5,1124480
5,1123024
5,1122800
5,1123360
5,1125040
5,1124368
5,1123696
5,1124144
5,1124704
5,1123920
5,1124592
5,1124816
5,1122352
5,1123584
5,1120000
6,1122576
6,1122464
6,1122688
6,1122912
6,1123472
6,1123248
6,1124480
6,1123024
6,1123136
6,1122800
6,1125040
6,1124816
6,1123360
6,1123696
6,1124704
6,1124144
6,1124368
6,1124592
6,1123920
6,1122352
6,1123584
7,1122576
7,1122464
7,1122688
7,1122912
7,1123472
7,1123248
7,1124480
7,1123024
7,1123136
7,1122800
7,1125040
7,1124816
7,1123360
7,1123696
7,1124144
7,1124704
7,1124368
7,1123920
7,1124592
7,1122352
7,1120000
8,1122576
8,1123472
8,1122464
8,1122688
8,1122912
8,1124480
8,1123248
8,1123024
8,1122800
8,1123136
8,1125040
8,1123360
8,1124816
8,1123696
8,1124704
8,1124144
8,1124368
8,1124592
8,1123920
8,1122352
8,1123584
9,1122576
9,1123472
9,1122464
9,1122688
9,1122912
9,1124480
9,1123248
9,1123024
9,1122800
9,1123136
9,1125040
9,1124704
9,1123360
9,1124816
9,1123696
9,1124368
9,1124144
9,1123920
9,1124592
9,1122352
9,1123584
10,1122576
10,1123472
10,1122464
10,1122688
10,1122912
10,1124480
10,1123248
10,1122800
10,1123024
10,1123136
10,1123360
10,1125040
10,1123696
10,1124816
10,1124704
10,1124144
10,1123920
10,1124368
10,1124592
10,1122352
10,1123584
10,1120000
11,1122576
11,1123472
11,1122688
11,1122464
11,1122912
11,1123248
11,1123136
11,1124480
11,1122800
11,1123024
11,1123360
11,1125040
11,1124816
11,1123696
11,1124704
11,1123920
11,1124144
11,1124592
11,1124368
11,1122352
11,1123584
12,1122576
12,1123472
12,1122464
12,1122688
12,1122912
12,1123248
12,1124480
12,1122800
12,1123136
12,1123024
12,1123360
12,1125040
12,1123696
12,1124704
12,1124144
12,1124816
12,1123920
12,1124368
12,1124592
12,1122352
12,1123584
13,1122576
13,1123472
13,1122464
13,1122688
13,1122912
13,1123248
13,1124480
13,1123136
13,1123024
13,1122800
13,1123360
13,1123696
13,1125040
13,1124816
13,1124704
13,1124144
13,1124368
13,1124592
13,1123920
13,1122352
13,1123584
14,1122576
14,1123472
14,1122464
14,1122688
14,1122912
14,1123248
14,1124480
14,1123136
14,1123024
14,1122800
14,1123360
14,1123696
14,1125040
14,1124144
14,1124816
14,1124368
14,1124704
14,1123920
14,1124592
14,1122352
14,1123584
15,1122576
15,1123472
15,1122688
15,1122464
15,1122912
15,1123248
15,1124480
15,1123136
15,1123024
15,1122800
15,1123360
15,1125040
15,1123696
15,1124816
15,1124144
15,1124704
15,1124368
15,1124592
15,1123920
15,1122352
15,1123584
16,1122576
16,1123472
16,1122688
16,1122912
16,1122464
16,1123248
16,1124480
16,1123136
16,1123024
16,1122800
16,1123360
16,1125040
16,1123696
16,1124144
16,1124704
16,1124816
16,1124592
16,1123920
16,1124368
16,1122352
16,1123584
17,1122576
17,1123472
17,1122688
17,1122464
17,1122912
17,1123248
17,1124480
17,1123136
17,1123024
17,1122800
17,1123360
17,1125040
17,1123696
17,1124144
17,1124816
17,1124704
17,1123920
17,1124592
17,1124368
17,1122352
17,1123584
17,1120000
18,1122576
18,1123472
18,1122688
18,1122464
18,1122912
18,1123248
18,1124480
18,1123136
18,1123024
18,1122800
18,1123360
18,1123696
18,1124144
18,1125040
18,1124816
18,1124704
18,1123920
18,1124592
18,1124368
18,1122352
18,1123584
18,1120000
19,1122576
19,1123472
19,1122688
19,1122464
19,1122912
19,1123248
19,1124480
19,1123136
19,1123024
19,1122800
19,1123360
19,1123696
19,1124144
19,1125040
19,1124816
19,1124704
19,1124592
19,1123920
19,1124368
19,1122352
19,1123584
19,1120000
20,1122576
20,1123472
20,1122688
20,1122464
20,1122912
20,1123248
20,1123136
20,1124480
20,1123024
20,1122800
20,1123360
20,1124144
20,1125040
20,1124816
20,1123696
20,1124592
20,1124704
20,1124368
20,1123920
20,1122352
20,1123584
20,1120000
21,1122576
21,1123472
21,1122688
21,1122464
21,1122912
21,1123248
21,1124480
21,1123136
21,1123024
21,1122800
21,1123360
21,1124816
21,1125040
21,1124144
21,1124704
21,1123696
21,1124592
21,1123920
21,1124368
21,1122352
21,1123584
22,1122576
22,1123472
22,1122688
22,1122912
22,1122464
22,1123248
22,1124480
22,1123136
22,1123024
22,1122800
22,1123360
22,1124816
22,1125040
22,1124144
22,1124704
22,1124592
22,1123696
22,1123920
22,1122352
22,1124368
22,1123584
22,1120000
23,1122576
23,1123472
23,1122688
23,1122912
23,1122464
23,1123248
23,1124480
23,1123136
23,1123024
23,1122800
23,1123360
23,1124816
23,1125040
23,1124144
23,1124704
23,1123696
23,1124592
23,1123920
23,1122352
23,1124368
23,1123584
23,1120000
